sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	cntProbe	runtime
1	729013742	Needles_3	1	3.1	0.05	-4.2e-02	False	1	0.0005
2	254973556	Needles_3	1	3.1	0.05	-4.2e-02	False	1	0.0005
3	337032055	Needles_3	1	3.1	0.05	-4.2e-02	False	1	0.0004
4	53770551	Needles_3	1	3.1	0.05	-4.2e-02	False	1	0.0004
5	230337656	Needles_3	1	3.1	0.05	-4.2e-02	False	1	0.0005
6	803392293	Needles_3	2	3.14	0.005	-1.59e-03	False	1163	0.4737
7	86086433	Needles_3	2	3.14	0.005	-1.59e-03	False	608	0.242
8	894003347	Needles_3	2	3.14	0.005	-1.59e-03	False	696	0.274
9	264577548	Needles_3	2	3.15	0.005	8.41e-03	False	167	0.0722
10	541318491	Needles_3	2	3.15	0.005	8.41e-03	False	167	0.0669
11	367413457	Needles_3	3	3.142	0.0005	4.073e-04	False	2065	0.8312
12	612508406	Needles_3	3	3.142	0.0005	4.073e-04	False	775	0.3195
13	637298144	Needles_3	3	3.142	0.0005	4.073e-04	False	1033	0.4292
14	162023065	Needles_3	3	3.142	0.0005	4.073e-04	False	259	0.1108
15	198299814	Needles_3	3	3.141	0.0005	-5.927e-04	False	857	0.3469
16	95801813	Needles_3	4	3.1416	5e-05	7.3464e-06	False	274	0.118
17	933569999	Needles_3	4	3.1416	5e-05	7.3464e-06	False	16444	6.7334
18	822037436	Needles_3	4	3.1416	5e-05	7.3464e-06	False	274	0.1067
19	580929847	Needles_3	4	3.1416	5e-05	7.3464e-06	False	274	0.1088
20	892918638	Needles_3	4	3.1416	5e-05	7.3464e-06	False	547	0.2108
21	296834227	Needles_3	5	3.1416	5e-06	7.34641e-06	False	17309	8.4094
22	421668288	Needles_3	5	3.14159	5e-06	-2.65359e-06	False	550	0.2411
23	955411090	Needles_3	5	3.14159	5e-06	-2.65359e-06	False	550	0.2209
24	607025453	Needles_3	5	3.1416	5e-06	7.34641e-06	False	24178	11.7611
25	61780222	Needles_3	5	3.1416	5e-06	7.34641e-06	False	3297	1.3238
26	765292551	Needles_3	6	3.141593	5e-07	3.464102e-07	False	3299	1.3467
27	363159478	Needles_3	6	3.141593	5e-07	3.464102e-07	False	3024	1.3819
28	429273534	Needles_3	6	3.141593	5e-07	3.464102e-07	False	3574	1.5181
29	256880187	Needles_3	6	3.141593	5e-07	3.464102e-07	False	3574	1.4921
30	609092628	Needles_3	6	3.141592	5e-07	-6.535898e-07	False	4124	1.9135
