sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	numThrows	runtime
1	5994	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1018
2	1688	Needles_3	2	3.14	0.005	0.00367098609436	False	530	0.3303
3	11513	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.2084
4	59011	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1482
5	48056	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1384
6	25544	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1569
7	60934	Needles_3	2	3.14	0.005	0.00013840439997	False	280	0.1554
8	25365	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0942
9	11261	Needles_3	2	3.14	0.005	0.00288395677572	False	442	0.2621
10	19091	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1016
11	30410	Needles_3	2	3.14	0.005	0.00156791336609	False	346	0.192
12	43883	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1017
13	23545	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0954
14	50857	Needles_3	2	3.14	0.005	0.00115625408307	False	324	0.1933
15	56970	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0973
16	54091	Needles_3	2	3.14	0.005	0.00195133070582	False	219	0.1194
17	62583	Needles_3	2	3.14	0.005	0.000638158496246	False	300	0.1623
18	64934	Needles_3	2	3.14	0.005	0.00234644325108	False	397	0.2173
19	59872	Needles_3	2	3.14	0.005	0.00484094209181	False	753	0.4074
20	63124	Needles_3	2	3.15	0.005	0.00450563545446	False	173	0.0975
21	63404	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0907
22	64093	Needles_3	2	3.14	0.005	0.00381469014581	False	550	0.3
23	1447	Needles_3	2	3.14	0.005	0.00369323007778	False	533	0.2857
24	6542	Needles_3	2	3.14	0.005	0.000819847837972	False	308	0.168
25	19960	Needles_3	2	3.14	0.005	0.00457388583833	False	687	0.3755
26	3610	Needles_3	2	3.14	0.005	0.0016371898242	False	350	0.1945
27	61777	Needles_3	2	3.14	0.005	0.00131227347843	False	332	0.18
28	34266	Needles_3	2	3.14	0.005	0.00474153181552	False	727	0.3932
29	2710	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1792
30	25410	Needles_3	2	3.14	0.005	0.0030194152668	False	455	0.2469
31	51458	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0924
32	8127	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0902
33	44348	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.09
34	27910	Needles_3	2	3.14	0.005	0.00495763751327	False	786	0.4179
35	4019	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0936
36	858	Needles_3	2	3.14	0.005	0.00442012411279	False	654	0.3543
37	53759	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0904
38	7016	Needles_3	2	3.14	0.005	0.0018358164218	False	362	0.251
39	4718	Needles_3	2	3.14	0.005	0.0016371898242	False	350	0.1899
40	30305	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0899
41	6557	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0939
42	42602	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1849
43	31896	Needles_3	2	3.14	0.005	0.00276294568374	False	431	0.2299
44	47611	Needles_3	2	3.14	0.005	0.0027080533217	False	203	0.1077
45	37694	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1804
46	10759	Needles_3	2	3.15	0.005	0.00499985745703	False	665	0.3598
47	58828	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0907
48	11435	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.2111
49	7713	Needles_3	2	3.14	0.005	0.00113620712353	False	323	0.1764
50	22907	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0923
51	46415	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0911
52	20656	Needles_3	2	3.14	0.005	0.00350792675624	False	509	0.2775
53	55077	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0893
54	7188	Needles_3	2	3.14	0.005	0.000829313505056	False	248	0.1338
55	15198	Needles_3	2	3.14	0.005	0.00101326370465	False	317	0.1719
56	59953	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0894
57	21695	Needles_3	2	3.14	0.005	0.00391578378154	False	565	0.3491
58	33151	Needles_3	2	3.15	0.005	0.00396780065244	False	181	0.0987
59	54990	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.091
60	65012	Needles_3	2	3.14	0.005	0.0044778022678	False	666	0.3834
61	54812	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0918
62	8055	Needles_3	2	3.14	0.005	0.00213908080742	False	382	0.2043
63	22070	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0931
64	17408	Needles_3	2	3.15	0.005	0.00499351041738	False	499	0.27
65	8896	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0875
